노드아이디,노드유형,노드명칭,회전제한유무,노드영문명,엑스좌표,와이좌표,이전노드아이디,편집일자,비고
1060004200,도로교차점,동원사거리,N,Dongwonsageori,127.09364,37.58967,1060004200,2008-03-25,
1060006700,도로교차점,두산대림아파트,N,Dusandaerim Apt.,127.0878,37.61896,1060006700,2008-03-25,
1080001100,도로교차점,드림랜드앞,N,Deurimnaendeuap,127.0448,37.61949,1080001100,2008-03-25,
1100002800,도로교차점,마들역,Y,Madeul Station,127.05782,37.66449,1100002800,2008-03-25,
1060001600,도로교차점,망우사거리,Y,Mangusageori,127.10031,37.59983,1060001600,2008-03-25,
1060001300,도로교차점,망우역,Y,Mangu Station,127.09279,37.59813,1060001300,2008-03-25,
1060000400,도로교차점,면목2동사거리,Y,Myeonmok2Dongsageori,127.07991,37.58664,1060000400,2008-03-25,
1060004000,도로교차점,면목역,N,Myeonmok Station,127.08762,37.58832,1060004000,2008-03-25,
1100008000,도로교차점,양지근린공원(유경사거리),Y,Yangjigeullingongwon(Yugyeongsageori),127.07663,37.64771,1100008000,2008-03-25,
1060004300,도로교차점,겸재삼거리,N,Gyeomjaesamgeori,127.09736,37.5905,1060004300,2008-03-25,
1050004400,도로교차점,영휘원(홍릉),Y,Yeonghwiwon(Hongneung),127.04308,37.5867,1050004400,2008-03-25,
1100010100,도로교차점,온곡초교,N,Ongokchogyo,127.0667,37.66776,1100010100,2008-03-25,
1100009900,도로교차점,온곡초교입구,N,Ongokchogyoipgu,127.06618,37.6644,1100009900,2008-03-25,
1050005700,도로교차점,외국어대,N,Oegugeodae,127.0603,37.59646,1050005700,2008-03-25,
1050005600,도로교차점,농협16,N,Nonghyeop16,127.0646,37.59456,1050005600,2008-03-25,
1060004800,도로교차점,우림시장앞,Y,Urimsijangap,127.10008,37.59562,1060004800,2008-03-25,
1100009000,도로교차점,원광초교,N,Wongwangchogyo,127.07424,37.65463,1100009000,2008-03-25,
1100004700,도로교차점,원자력병원입구,Y,Wonjaryeokbyeongwonipgu,127.08499,37.62799,1100004700,2008-03-25,
